"","gutenberg_id","text","story"
"38",1661,"to time I heard some vague account of his doings: of his summons","ADVENTURE I. A SCANDAL IN BOHEMIA"
"39",1661,"to Odessa in the case of the Trepoff murder, of his clearing up","ADVENTURE I. A SCANDAL IN BOHEMIA"
"40",1661,"of the singular tragedy of the Atkinson brothers at Trincomalee,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"41",1661,"and finally of the mission which he had accomplished so","ADVENTURE I. A SCANDAL IN BOHEMIA"
"42",1661,"delicately and successfully for the reigning family of Holland.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"43",1661,"Beyond these signs of his activity, however, which I merely","ADVENTURE I. A SCANDAL IN BOHEMIA"
"44",1661,"shared with all the readers of the daily press, I knew little of","ADVENTURE I. A SCANDAL IN BOHEMIA"
"45",1661,"my former friend and companion.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"46",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"47",1661,"One night--it was on the twentieth of March, 1888--I was","ADVENTURE I. A SCANDAL IN BOHEMIA"
"48",1661,"returning from a journey to a patient (for I had now returned to","ADVENTURE I. A SCANDAL IN BOHEMIA"
"49",1661,"civil practice), when my way led me through Baker Street. As I","ADVENTURE I. A SCANDAL IN BOHEMIA"
"50",1661,"passed the well-remembered door, which must always be associated","ADVENTURE I. A SCANDAL IN BOHEMIA"
"51",1661,"in my mind with my wooing, and with the dark incidents of the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"52",1661,"Study in Scarlet, I was seized with a keen desire to see Holmes","ADVENTURE I. A SCANDAL IN BOHEMIA"
"53",1661,"again, and to know how he was employing his extraordinary powers.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"54",1661,"His rooms were brilliantly lit, and, even as I looked up, I saw","ADVENTURE I. A SCANDAL IN BOHEMIA"
"55",1661,"his tall, spare figure pass twice in a dark silhouette against","ADVENTURE I. A SCANDAL IN BOHEMIA"
"56",1661,"the blind. He was pacing the room swiftly, eagerly, with his head","ADVENTURE I. A SCANDAL IN BOHEMIA"
"57",1661,"sunk upon his chest and his hands clasped behind him. To me, who","ADVENTURE I. A SCANDAL IN BOHEMIA"
"58",1661,"knew his every mood and habit, his attitude and manner told their","ADVENTURE I. A SCANDAL IN BOHEMIA"
"59",1661,"own story. He was at work again. He had risen out of his","ADVENTURE I. A SCANDAL IN BOHEMIA"
"60",1661,"drug-created dreams and was hot upon the scent of some new","ADVENTURE I. A SCANDAL IN BOHEMIA"
"61",1661,"problem. I rang the bell and was shown up to the chamber which","ADVENTURE I. A SCANDAL IN BOHEMIA"
"62",1661,"had formerly been in part my own.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"63",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"64",1661,"His manner was not effusive. It seldom was; but he was glad, I","ADVENTURE I. A SCANDAL IN BOHEMIA"
"65",1661,"think, to see me. With hardly a word spoken, but with a kindly","ADVENTURE I. A SCANDAL IN BOHEMIA"
"66",1661,"eye, he waved me to an armchair, threw across his case of cigars,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"67",1661,"and indicated a spirit case and a gasogene in the corner. Then he","ADVENTURE I. A SCANDAL IN BOHEMIA"
"68",1661,"stood before the fire and looked me over in his singular","ADVENTURE I. A SCANDAL IN BOHEMIA"
"69",1661,"introspective fashion.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"70",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"71",1661,"""Wedlock suits you,"" he remarked. ""I think, Watson, that you have","ADVENTURE I. A SCANDAL IN BOHEMIA"
"72",1661,"put on seven and a half pounds since I saw you.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"73",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"74",1661,"""Seven!"" I answered.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"75",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"76",1661,"""Indeed, I should have thought a little more. Just a trifle more,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"77",1661,"I fancy, Watson. And in practice again, I observe. You did not","ADVENTURE I. A SCANDAL IN BOHEMIA"
"78",1661,"tell me that you intended to go into harness.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"79",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"80",1661,"""Then, how do you know?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"81",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"82",1661,"""I see it, I deduce it. How do I know that you have been getting","ADVENTURE I. A SCANDAL IN BOHEMIA"
"83",1661,"yourself very wet lately, and that you have a most clumsy and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"84",1661,"careless servant girl?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"85",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"86",1661,"""My dear Holmes,"" said I, ""this is too much. You would certainly","ADVENTURE I. A SCANDAL IN BOHEMIA"
"87",1661,"have been burned, had you lived a few centuries ago. It is true","ADVENTURE I. A SCANDAL IN BOHEMIA"
"88",1661,"that I had a country walk on Thursday and came home in a dreadful","ADVENTURE I. A SCANDAL IN BOHEMIA"
"89",1661,"mess, but as I have changed my clothes I can't imagine how you","ADVENTURE I. A SCANDAL IN BOHEMIA"
"90",1661,"deduce it. As to Mary Jane, she is incorrigible, and my wife has","ADVENTURE I. A SCANDAL IN BOHEMIA"
"91",1661,"given her notice, but there, again, I fail to see how you work it","ADVENTURE I. A SCANDAL IN BOHEMIA"
"92",1661,"out.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"93",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"94",1661,"He chuckled to himself and rubbed his long, nervous hands","ADVENTURE I. A SCANDAL IN BOHEMIA"
"95",1661,"together.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"96",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"97",1661,"""It is simplicity itself,"" said he; ""my eyes tell me that on the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"98",1661,"inside of your left shoe, just where the firelight strikes it,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"99",1661,"the leather is scored by six almost parallel cuts. Obviously they","ADVENTURE I. A SCANDAL IN BOHEMIA"
"100",1661,"have been caused by someone who has very carelessly scraped round","ADVENTURE I. A SCANDAL IN BOHEMIA"
"101",1661,"the edges of the sole in order to remove crusted mud from it.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"102",1661,"Hence, you see, my double deduction that you had been out in vile","ADVENTURE I. A SCANDAL IN BOHEMIA"
"103",1661,"weather, and that you had a particularly malignant boot-slitting","ADVENTURE I. A SCANDAL IN BOHEMIA"
"104",1661,"specimen of the London slavey. As to your practice, if a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"105",1661,"gentleman walks into my rooms smelling of iodoform, with a black","ADVENTURE I. A SCANDAL IN BOHEMIA"
"106",1661,"mark of nitrate of silver upon his right forefinger, and a bulge","ADVENTURE I. A SCANDAL IN BOHEMIA"
"107",1661,"on the right side of his top-hat to show where he has secreted","ADVENTURE I. A SCANDAL IN BOHEMIA"
"108",1661,"his stethoscope, I must be dull, indeed, if I do not pronounce","ADVENTURE I. A SCANDAL IN BOHEMIA"
"109",1661,"him to be an active member of the medical profession.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"110",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"111",1661,"I could not help laughing at the ease with which he explained his","ADVENTURE I. A SCANDAL IN BOHEMIA"
"112",1661,"process of deduction. ""When I hear you give your reasons,"" I","ADVENTURE I. A SCANDAL IN BOHEMIA"
"113",1661,"remarked, ""the thing always appears to me to be so ridiculously","ADVENTURE I. A SCANDAL IN BOHEMIA"
"114",1661,"simple that I could easily do it myself, though at each","ADVENTURE I. A SCANDAL IN BOHEMIA"
"115",1661,"successive instance of your reasoning I am baffled until you","ADVENTURE I. A SCANDAL IN BOHEMIA"
"116",1661,"explain your process. And yet I believe that my eyes are as good","ADVENTURE I. A SCANDAL IN BOHEMIA"
"117",1661,"as yours.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"118",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"119",1661,"""Quite so,"" he answered, lighting a cigarette, and throwing","ADVENTURE I. A SCANDAL IN BOHEMIA"
"120",1661,"himself down into an armchair. ""You see, but you do not observe.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"121",1661,"The distinction is clear. For example, you have frequently seen","ADVENTURE I. A SCANDAL IN BOHEMIA"
"122",1661,"the steps which lead up from the hall to this room.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"123",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"124",1661,"""Frequently.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"125",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"126",1661,"""How often?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"127",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"128",1661,"""Well, some hundreds of times.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"129",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"130",1661,"""Then how many are there?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"131",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"132",1661,"""How many? I don't know.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"133",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"134",1661,"""Quite so! You have not observed. And yet you have seen. That is","ADVENTURE I. A SCANDAL IN BOHEMIA"
"135",1661,"just my point. Now, I know that there are seventeen steps,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"136",1661,"because I have both seen and observed. By-the-way, since you are","ADVENTURE I. A SCANDAL IN BOHEMIA"
"137",1661,"interested in these little problems, and since you are good","ADVENTURE I. A SCANDAL IN BOHEMIA"
"138",1661,"enough to chronicle one or two of my trifling experiences, you","ADVENTURE I. A SCANDAL IN BOHEMIA"
"139",1661,"may be interested in this."" He threw over a sheet of thick,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"140",1661,"pink-tinted note-paper which had been lying open upon the table.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"141",1661,"""It came by the last post,"" said he. ""Read it aloud.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"142",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"143",1661,"The note was undated, and without either signature or address.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"144",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"145",1661,"""There will call upon you to-night, at a quarter to eight","ADVENTURE I. A SCANDAL IN BOHEMIA"
"146",1661,"o'clock,"" it said, ""a gentleman who desires to consult you upon a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"147",1661,"matter of the very deepest moment. Your recent services to one of","ADVENTURE I. A SCANDAL IN BOHEMIA"
"148",1661,"the royal houses of Europe have shown that you are one who may","ADVENTURE I. A SCANDAL IN BOHEMIA"
"149",1661,"safely be trusted with matters which are of an importance which","ADVENTURE I. A SCANDAL IN BOHEMIA"
"150",1661,"can hardly be exaggerated. This account of you we have from all","ADVENTURE I. A SCANDAL IN BOHEMIA"
"151",1661,"quarters received. Be in your chamber then at that hour, and do","ADVENTURE I. A SCANDAL IN BOHEMIA"
"152",1661,"not take it amiss if your visitor wear a mask.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"153",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"154",1661,"""This is indeed a mystery,"" I remarked. ""What do you imagine that","ADVENTURE I. A SCANDAL IN BOHEMIA"
"155",1661,"it means?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"156",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"157",1661,"""I have no data yet. It is a capital mistake to theorize before","ADVENTURE I. A SCANDAL IN BOHEMIA"
"158",1661,"one has data. Insensibly one begins to twist facts to suit","ADVENTURE I. A SCANDAL IN BOHEMIA"
"159",1661,"theories, instead of theories to suit facts. But the note itself.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"160",1661,"What do you deduce from it?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"161",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"162",1661,"I carefully examined the writing, and the paper upon which it was","ADVENTURE I. A SCANDAL IN BOHEMIA"
"163",1661,"written.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"164",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"165",1661,"""The man who wrote it was presumably well to do,"" I remarked,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"166",1661,"endeavouring to imitate my companion's processes. ""Such paper","ADVENTURE I. A SCANDAL IN BOHEMIA"
"167",1661,"could not be bought under half a crown a packet. It is peculiarly","ADVENTURE I. A SCANDAL IN BOHEMIA"
"168",1661,"strong and stiff.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"169",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"170",1661,"""Peculiar--that is the very word,"" said Holmes. ""It is not an","ADVENTURE I. A SCANDAL IN BOHEMIA"
"171",1661,"English paper at all. Hold it up to the light.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"172",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"173",1661,"I did so, and saw a large ""E"" with a small ""g,"" a ""P,"" and a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"174",1661,"large ""G"" with a small ""t"" woven into the texture of the paper.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"175",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"176",1661,"""What do you make of that?"" asked Holmes.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"177",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"178",1661,"""The name of the maker, no doubt; or his monogram, rather.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"179",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"180",1661,"""Not at all. The 'G' with the small 't' stands for","ADVENTURE I. A SCANDAL IN BOHEMIA"
"181",1661,"'Gesellschaft,' which is the German for 'Company.' It is a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"182",1661,"customary contraction like our 'Co.' 'P,' of course, stands for","ADVENTURE I. A SCANDAL IN BOHEMIA"
"183",1661,"'Papier.' Now for the 'Eg.' Let us glance at our Continental","ADVENTURE I. A SCANDAL IN BOHEMIA"
"184",1661,"Gazetteer."" He took down a heavy brown volume from his shelves.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"185",1661,"""Eglow, Eglonitz--here we are, Egria. It is in a German-speaking","ADVENTURE I. A SCANDAL IN BOHEMIA"
"186",1661,"country--in Bohemia, not far from Carlsbad. 'Remarkable as being","ADVENTURE I. A SCANDAL IN BOHEMIA"
"187",1661,"the scene of the death of Wallenstein, and for its numerous","ADVENTURE I. A SCANDAL IN BOHEMIA"
"188",1661,"glass-factories and paper-mills.' Ha, ha, my boy, what do you","ADVENTURE I. A SCANDAL IN BOHEMIA"
"189",1661,"make of that?"" His eyes sparkled, and he sent up a great blue","ADVENTURE I. A SCANDAL IN BOHEMIA"
"190",1661,"triumphant cloud from his cigarette.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"191",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"192",1661,"""The paper was made in Bohemia,"" I said.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"193",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"194",1661,"""Precisely. And the man who wrote the note is a German. Do you","ADVENTURE I. A SCANDAL IN BOHEMIA"
"195",1661,"note the peculiar construction of the sentence--'This account of","ADVENTURE I. A SCANDAL IN BOHEMIA"
"196",1661,"you we have from all quarters received.' A Frenchman or Russian","ADVENTURE I. A SCANDAL IN BOHEMIA"
"197",1661,"could not have written that. It is the German who is so","ADVENTURE I. A SCANDAL IN BOHEMIA"
"198",1661,"uncourteous to his verbs. It only remains, therefore, to discover","ADVENTURE I. A SCANDAL IN BOHEMIA"
"199",1661,"what is wanted by this German who writes upon Bohemian paper and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"200",1661,"prefers wearing a mask to showing his face. And here he comes, if","ADVENTURE I. A SCANDAL IN BOHEMIA"
"201",1661,"I am not mistaken, to resolve all our doubts.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"202",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"203",1661,"As he spoke there was the sharp sound of horses' hoofs and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"204",1661,"grating wheels against the curb, followed by a sharp pull at the","ADVENTURE I. A SCANDAL IN BOHEMIA"
"205",1661,"bell. Holmes whistled.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"206",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"207",1661,"""A pair, by the sound,"" said he. ""Yes,"" he continued, glancing","ADVENTURE I. A SCANDAL IN BOHEMIA"
"208",1661,"out of the window. ""A nice little brougham and a pair of","ADVENTURE I. A SCANDAL IN BOHEMIA"
"209",1661,"beauties. A hundred and fifty guineas apiece. There's money in","ADVENTURE I. A SCANDAL IN BOHEMIA"
"210",1661,"this case, Watson, if there is nothing else.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"211",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"212",1661,"""I think that I had better go, Holmes.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"213",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"214",1661,"""Not a bit, Doctor. Stay where you are. I am lost without my","ADVENTURE I. A SCANDAL IN BOHEMIA"
"215",1661,"Boswell. And this promises to be interesting. It would be a pity","ADVENTURE I. A SCANDAL IN BOHEMIA"
"216",1661,"to miss it.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"217",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"218",1661,"""But your client--""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"219",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"220",1661,"""Never mind him. I may want your help, and so may he. Here he","ADVENTURE I. A SCANDAL IN BOHEMIA"
"221",1661,"comes. Sit down in that armchair, Doctor, and give us your best","ADVENTURE I. A SCANDAL IN BOHEMIA"
"222",1661,"attention.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"223",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"224",1661,"A slow and heavy step, which had been heard upon the stairs and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"225",1661,"in the passage, paused immediately outside the door. Then there","ADVENTURE I. A SCANDAL IN BOHEMIA"
"226",1661,"was a loud and authoritative tap.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"227",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"228",1661,"""Come in!"" said Holmes.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"229",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"230",1661,"A man entered who could hardly have been less than six feet six","ADVENTURE I. A SCANDAL IN BOHEMIA"
"231",1661,"inches in height, with the chest and limbs of a Hercules. His","ADVENTURE I. A SCANDAL IN BOHEMIA"
"232",1661,"dress was rich with a richness which would, in England, be looked","ADVENTURE I. A SCANDAL IN BOHEMIA"
"233",1661,"upon as akin to bad taste. Heavy bands of astrakhan were slashed","ADVENTURE I. A SCANDAL IN BOHEMIA"
"234",1661,"across the sleeves and fronts of his double-breasted coat, while","ADVENTURE I. A SCANDAL IN BOHEMIA"
"235",1661,"the deep blue cloak which was thrown over his shoulders was lined","ADVENTURE I. A SCANDAL IN BOHEMIA"
"236",1661,"with flame-coloured silk and secured at the neck with a brooch","ADVENTURE I. A SCANDAL IN BOHEMIA"
"237",1661,"which consisted of a single flaming beryl. Boots which extended","ADVENTURE I. A SCANDAL IN BOHEMIA"
"238",1661,"halfway up his calves, and which were trimmed at the tops with","ADVENTURE I. A SCANDAL IN BOHEMIA"
"239",1661,"rich brown fur, completed the impression of barbaric opulence","ADVENTURE I. A SCANDAL IN BOHEMIA"
"240",1661,"which was suggested by his whole appearance. He carried a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"241",1661,"broad-brimmed hat in his hand, while he wore across the upper","ADVENTURE I. A SCANDAL IN BOHEMIA"
"242",1661,"part of his face, extending down past the cheekbones, a black","ADVENTURE I. A SCANDAL IN BOHEMIA"
"243",1661,"vizard mask, which he had apparently adjusted that very moment,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"244",1661,"for his hand was still raised to it as he entered. From the lower","ADVENTURE I. A SCANDAL IN BOHEMIA"
"245",1661,"part of the face he appeared to be a man of strong character,","ADVENTURE I. A SCANDAL IN BOHEMIA"
"246",1661,"with a thick, hanging lip, and a long, straight chin suggestive","ADVENTURE I. A SCANDAL IN BOHEMIA"
"247",1661,"of resolution pushed to the length of obstinacy.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"248",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"249",1661,"""You had my note?"" he asked with a deep harsh voice and a","ADVENTURE I. A SCANDAL IN BOHEMIA"
"250",1661,"strongly marked German accent. ""I told you that I would call."" He","ADVENTURE I. A SCANDAL IN BOHEMIA"
"251",1661,"looked from one to the other of us, as if uncertain which to","ADVENTURE I. A SCANDAL IN BOHEMIA"
"252",1661,"address.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"253",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"254",1661,"""Pray take a seat,"" said Holmes. ""This is my friend and","ADVENTURE I. A SCANDAL IN BOHEMIA"
"255",1661,"colleague, Dr. Watson, who is occasionally good enough to help me","ADVENTURE I. A SCANDAL IN BOHEMIA"
"256",1661,"in my cases. Whom have I the honour to address?""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"257",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"258",1661,"""You may address me as the Count Von Kramm, a Bohemian nobleman.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"259",1661,"I understand that this gentleman, your friend, is a man of honour","ADVENTURE I. A SCANDAL IN BOHEMIA"
"260",1661,"and discretion, whom I may trust with a matter of the most","ADVENTURE I. A SCANDAL IN BOHEMIA"
"261",1661,"extreme importance. If not, I should much prefer to communicate","ADVENTURE I. A SCANDAL IN BOHEMIA"
"262",1661,"with you alone.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"263",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"264",1661,"I rose to go, but Holmes caught me by the wrist and pushed me","ADVENTURE I. A SCANDAL IN BOHEMIA"
"265",1661,"back into my chair. ""It is both, or none,"" said he. ""You may say","ADVENTURE I. A SCANDAL IN BOHEMIA"
"266",1661,"before this gentleman anything which you may say to me.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"267",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"268",1661,"The Count shrugged his broad shoulders. ""Then I must begin,"" said","ADVENTURE I. A SCANDAL IN BOHEMIA"
"269",1661,"he, ""by binding you both to absolute secrecy for two years; at","ADVENTURE I. A SCANDAL IN BOHEMIA"
"270",1661,"the end of that time the matter will be of no importance. At","ADVENTURE I. A SCANDAL IN BOHEMIA"
"271",1661,"present it is not too much to say that it is of such weight it","ADVENTURE I. A SCANDAL IN BOHEMIA"
"272",1661,"may have an influence upon European history.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"273",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"274",1661,"""I promise,"" said Holmes.","ADVENTURE I. A SCANDAL IN BOHEMIA"
"275",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
"276",1661,"""And I.""","ADVENTURE I. A SCANDAL IN BOHEMIA"
"277",1661,"","ADVENTURE I. A SCANDAL IN BOHEMIA"
